"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Mammalia&show=full&order=hierarchy"
"Access Time","Fri 2026-08-28 21:59:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","show","full"
"","order","hierarchy"
"Elapsed Time","0.945"
"Records Found","34129"
"Records Returned","34129"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","taxon_attr","common_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","ref_author","ref_pubyr","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","vision","diet","diet_basis","reproduction","reproduction_basis","ontogeny","ontogeny_basis","ecospace_comments","composition","architecture","thickness","reinforcement","taphonomy_basis"
"246076","246076","txn","","","Proremiculus lagnauxi","De Bast et al. 2012","","","246076","species","Proremiculus lagnauxi","246075","Proremiculus","De Bast et al.","2012","42813","extinct","1","66","61.66","66","61.66","Danian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Proremiculus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"40541","40541","txn","","","Adapisoriculus","Lemoine 1885","","","40541","genus","Adapisoriculus","118857","Adapisoriculidae","Carroll","1988","4783","extinct","4","66","61.66","56","48.07","Danian","Ypresian","2","0","Chordata","Mammalia","","Adapisoriculidae","Adapisoriculus","Adapisoriculus minimus","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246756","246756","txn","","","Adapisoriculus minimus","Lemoine 1883","","","246756","species","Adapisoriculus minimus","40541","Adapisoriculus","Gheerbrant","1995","42891","extinct","1","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Adapisoriculus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"358280","358280","txn","","","Indolestes","Kapur et al. 2017","","","358280","genus","Indolestes","118857","Adapisoriculidae","Kapur et al.","2017","62931","extinct","0","","","","","","","1","0","Chordata","Mammalia","","Adapisoriculidae","Indolestes","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"96591","96591","txn","","","Garatherium","Crochet 1984","","","96591","genus","Garatherium","118857","Adapisoriculidae","Crochet","1984","57485","extinct","3","59.24","56","56","48.07","Thanetian","Ypresian","3","0","Chordata","Mammalia","","Adapisoriculidae","Garatherium","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"252527","252527","txn","","","Garatherium todrae","Gheerbrant et al. 1998","","","252527","species","Garatherium todrae","96591","Garatherium","Gheerbrant et al.","1998","43865","extinct","1","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Garatherium","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246757","246757","txn","","","Garatherium mahboubii","Crochet 1984","","","246757","species","Garatherium mahboubii","96591","Garatherium","Crochet","1984","57485","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Garatherium","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"53991","53991","txn","","","Deccanolestes","Prasad and Sahni 1988","","","53991","genus","Deccanolestes","118857","Adapisoriculidae","Khajuria and Prasad","1998","7470","extinct","8","72.2","66","72.2","66","Maastrichtian","","4","0","Chordata","Mammalia","","Adapisoriculidae","Deccanolestes","Deccanolestes hislopi","terrestrial","Deccanolestes","actively mobile","Osteichthyes","arboreal","Deccanolestes","","insectivore","Theria","viviparous","Theria","","","Arboreal Deccanolestes, see Prasad and Godinot (1994).","hydroxyapatite","","","","Vertebrata"
"202470","202470","txn","","","Deccanolestes narmadensis","Prasad et al. 2010","","","202470","species","Deccanolestes narmadensis","53991","Deccanolestes","Prasad et al.","2010","37977","extinct","1","72.2","66","72.2","66","Maastrichtian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Deccanolestes","","terrestrial","Deccanolestes","actively mobile","Osteichthyes","arboreal","Deccanolestes","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"137962","137962","txn","","","Deccanolestes robustus","Prasad et al. 1994","","","137962","species","Deccanolestes robustus","53991","Deccanolestes","Prasad et al.","1994","9864","extinct","2","72.2","66","72.2","66","Maastrichtian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Deccanolestes","","terrestrial","Deccanolestes","actively mobile","Osteichthyes","arboreal","Deccanolestes","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"137961","137961","txn","","","Deccanolestes hislopi","Prasad and Sahni 1988","","","137961","species","Deccanolestes hislopi","53991","Deccanolestes","Prasad et al.","1994","9864","extinct","2","72.2","66","72.2","66","Maastrichtian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Deccanolestes","","terrestrial","Deccanolestes","actively mobile","Osteichthyes","arboreal","Deccanolestes","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118856","118856","txn","","","Afrodon","Gheerbrant 1988","","","118856","genus","Afrodon","118857","Adapisoriculidae","Gheerbrant","1988","42885","extinct","10","66","61.66","56","48.07","Danian","Ypresian","5","0","Chordata","Mammalia","","Adapisoriculidae","Afrodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246070","246070","txn","","","Afrodon gheerbranti","De Bast et al. 2012","","","246070","species","Afrodon gheerbranti","118856","Afrodon","De Bast et al.","2012","42813","extinct","1","66","61.66","66","61.66","Danian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Afrodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118859","118859","txn","","","Afrodon chleuhi","Gheerbrant 1988","","","118859","species","Afrodon chleuhi","118856","Afrodon","Gheerbrant","1988","42885","extinct","3","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Afrodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118860","118860","txn","","","Afrodon tagourtensis","Gheerbrant 1993","","","118860","species","Afrodon tagourtensis","118856","Afrodon","López-Martínez and Peláez-Campomanes","1999","26583","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Afrodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118858","118858","txn","","","Afrodon ivani","López-Martínez and Peláez-Campomanes 1999","","","118858","species","Afrodon ivani","118856","Afrodon","López-Martínez and Peláez-Campomanes","1999","26583","extinct","2","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Afrodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"513032","513032","txn","","","Namibiodon","Goin et al. 2022","","","513032","genus","Namibiodon","118857","Adapisoriculidae","Goin et al.","2022","92767","extinct","1","48.07","41.03","48.07","41.03","Lutetian","","2","0","Chordata","Mammalia","","Adapisoriculidae","Namibiodon","Namibiodon australis","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"513033","513033","txn","","","Namibiodon australis","Goin et al. 2022","","","513033","species","Namibiodon australis","513032","Namibiodon","Goin et al.","2022","92767","extinct","1","48.07","41.03","48.07","41.03","Lutetian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Namibiodon","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246071","246071","txn","","","Bustylus","Gheerbrant and Russell 1991","","","246071","genus","Bustylus","118857","Adapisoriculidae","Gheerbrant and Russell","1991","42888","extinct","11","66","61.66","56","48.07","Danian","Ypresian","5","0","Chordata","Mammalia","","Adapisoriculidae","Bustylus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246072","246072","txn","","","Bustylus cernaysi","Gheerbrant and Russell 1991","","","246072","species","Bustylus cernaysi","246071","Bustylus","Gheerbrant and Russell","1991","42888","extinct","3","61.66","59.24","59.24","56","Selandian","Thanetian","1","0","Chordata","Mammalia","","Adapisoriculidae","Bustylus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246747","246073","txn","","","Bustylus marandati","(Crochet and Sigé 1983)","","","246747","species","Bustylus marandati","246071","Bustylus","Crochet and Sigé","1983","61389","extinct","1","66","61.66","66","61.66","Danian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Bustylus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246074","246074","txn","","","Bustylus folieae","De Bast et al. 2012","","","246074","species","Bustylus folieae","246071","Bustylus","De Bast et al.","2012","42813","extinct","1","66","61.66","66","61.66","Danian","","1","0","Chordata","Mammalia","","Adapisoriculidae","Bustylus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"246745","345467","txn","","","Bustylus germanicus","(Russell 1964)","","","246745","species","Bustylus germanicus","246071","Bustylus","De Bast et al.","2013","59929","extinct","5","61.66","59.24","59.24","56","Selandian","Thanetian","1","0","Chordata","Mammalia","","Adapisoriculidae","Bustylus","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"95916","95916","txn","","","Quadripedes","Gray 1821","","invalid subgroup of","182911","unranked clade","Eutheria","182911","Eutheria","Gray","1821","23420","extant","0","","","","","","","0","0","Chordata","Quadripedes","","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"147577","147577","txn","","","Paraxonia","(Marsh 1884)","","","147577","superorder","Paraxonia","182911","Eutheria","Gregory","1910","29980","extant","0","","","","","","","1","1","Chordata","Mammalia","","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"57523","57523","txn","","","Proteutheria","(Romer 1966)","","","57523","order","Proteutheria","182911","Eutheria","Romer","1966","14603","extinct","121","93.9","89.8","37.71","27.3","Turonian","Rupelian","50","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"57348","57348","txn","","","Leptictoidea","Trouessart 1879","","","57348","superfamily","Leptictoidea","57523","Proteutheria","Kielan-Jaworowska","1968","10479","extinct","0","","","","","","","1","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118884","118884","txn","","","Nosella","López-Martínez and Peláez-Campomanes 1999","","","118884","genus","Nosella","57523","Proteutheria","López-Martínez and Peláez-Campomanes","1999","26583","extinct","2","59.24","56","59.24","56","Thanetian","","2","0","Chordata","Mammalia","Proteutheria","","Nosella","Nosella europaea","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"118885","118885","txn","","","Nosella europaea","López-Martínez and Peláez-Campomanes 1999","","","118885","species","Nosella europaea","118884","Nosella","López-Martínez and Peláez-Campomanes","1999","26583","extinct","1","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","Proteutheria","","Nosella","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"253360","253360","txn","","","Endotherioidea","Van Valen 1967","","","253360","superfamily","Endotherioidea","57523","Proteutheria","Van Valen","1967","44033","extinct","0","","","","","","","2","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"197365","197365","txn","","","Endotheriidae","Shikama 1947","","","197365","family","Endotheriidae","253360","Endotherioidea","Shikama","1947","37299","extinct","0","","","","","","","1","0","Chordata","Mammalia","Proteutheria","Endotheriidae","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"53174","53174","txn","","","Mixotheridia","Nessov 1985","","","53174","suborder","Mixotheridia","57523","Proteutheria","Nessov","1985","38153","extinct","1","93.9","89.8","93.9","89.8","Turonian","","1","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"206758","206758","txn","","","Palaeoryctoidea","Winge 1917","","","206758","superfamily","Palaeoryctoidea","57523","Proteutheria","Kielan-Jaworowska et al.","1979","14391","extinct","1","60.9","57.5","60.9","57.5","Selandian","Thanetian","1","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"253642","253642","txn","","","Deltatheridioidea","Simpson 1931","","subjective synonym of","206758","superfamily","Palaeoryctoidea","57523","Proteutheria","Van Valen","1967","44033","extinct","1","60.9","57.5","60.9","57.5","Selandian","Thanetian","1","0","Chordata","Mammalia","Proteutheria","","","","terrestrial","Eutheria","actively mobile","Osteichthyes","scansorial","Eutheria","","insectivore","Theria","viviparous","Theria","","","","hydroxyapatite","","","","Vertebrata"
"40223","40223","txn","","","Palaeoryctidae","Winge 1917","","","40223","family","Palaeoryctidae","57523","Proteutheria","Carroll","1988","4783","extinct","106","83.6","72.2","37.71","27.3","Campanian","Rupelian","42","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","","Palaeoryctes","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"253431","253431","txn","","","Deltatheridiinae","Gregory and Simpson 1926","","","253431","subfamily","Deltatheridiinae","40223","Palaeoryctidae","Van Valen","1967","44033","extinct","1","83.6","72.2","83.6","72.2","Campanian","","3","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"39922","39922","txn","","","Hyotheridium","Gregory and Simpson 1926","","","39922","genus","Hyotheridium","253431","Deltatheridiinae","Gregory and Simpson","1926","15701","extinct","1","83.6","72.2","83.6","72.2","Campanian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Hyotheridium","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"70458","70458","txn","","","Hyotheridium dobsoni","Gregory and Simpson 1926","","","70458","species","Hyotheridium dobsoni","39922","Hyotheridium","Gregory and Simpson","1926","15701","extinct","0","","","","","","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Hyotheridium","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"517981","517981","txn","","","Anthraryctes","Bajpai et al. 2005","","","517981","genus","Anthraryctes","40223","Palaeoryctidae","Bajpai et al.","2005","14970","extinct","1","56","48.07","56","48.07","Ypresian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Anthraryctes","Anthraryctes vastanensis","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"517982","517982","txn","","","Anthraryctes vastanensis","Bajpai et al. 2005","","","517982","species","Anthraryctes vastanensis","517981","Anthraryctes","Bajpai et al.","2005","14970","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Anthraryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"246749","246749","txn","","","Palaeoryctinae","Winge 1917","","","246749","subfamily","Palaeoryctinae","40223","Palaeoryctidae","Gheerbrant","1992","42889","extinct","1","51.1","45.9","51.1","45.9","Ypresian","Lutetian","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"40226","40226","txn","","","Eoryctes","Thewissen and Gingerich 1989","","","40226","genus","Eoryctes","40223","Palaeoryctidae","Thewissen and Gingerich","1989","3403","extinct","6","56","51.1","56","51.1","Ypresian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Eoryctes","Eoryctes melanus","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"46177","46177","txn","","","Eoryctes melanus","Thewissen and Gingerich 1989","","","46177","species","Eoryctes melanus","40226","Eoryctes","Thewissen and Gingerich","1989","3403","extinct","6","56","51.1","56","51.1","Ypresian","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Eoryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"310617","310617","txn","","","Aceroryctes","Rankin and Holroyd 2014","","","310617","genus","Aceroryctes","40223","Palaeoryctidae","Rankin and Holroyd","2014","53736","extinct","2","56","51.1","56","51.1","Ypresian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Aceroryctes","Aceroryctes dulcis","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"310618","310618","txn","","","Aceroryctes dulcis","Rankin and Holroyd 2014","","","310618","species","Aceroryctes dulcis","310617","Aceroryctes","Rankin and Holroyd","2014","53736","extinct","2","56","51.1","56","51.1","Ypresian","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Aceroryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"40224","40224","txn","","","Aaptoryctes","Gingerich 1982","","","40224","genus","Aaptoryctes","40223","Palaeoryctidae","Gingerich","1982","1648","extinct","5","60.9","57.5","57.5","56","Selandian","Thanetian","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Aaptoryctes","Aaptoryctes ivyi","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"43685","43685","txn","","","Aaptoryctes ivyi","Gingerich 1982","","","43685","species","Aaptoryctes ivyi","40224","Aaptoryctes","Gingerich","1982","1648","extinct","5","60.9","57.5","57.5","56","Selandian","Thanetian","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Aaptoryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"103824","103824","txn","","","Didelphodontinae","Simpson 1927","","","103824","subfamily","Didelphodontinae","40223","Palaeoryctidae","Simpson","1927","38880","extinct","13","66","61.66","51.1","45.9","Danian","Lutetian","5","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"40229","40229","txn","","","Tsaganius","Russell and Dashzeveg 1986","","","40229","genus","Tsaganius","103824","Didelphodontinae","Russell and Dashzeveg","1986","29424","extinct","3","59.24","56","56","48.07","Thanetian","Ypresian","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Tsaganius","Tsaganius ambiguus","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"143265","143265","txn","","","Tsaganius ambiguus","Russell and Dashzeveg 1986","","","143265","species","Tsaganius ambiguus","40229","Tsaganius","Russell and Dashzeveg","1986","29424","extinct","3","59.24","56","56","48.07","Thanetian","Ypresian","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Tsaganius","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"347635","347635","txn","","","Belgoryctes","De Bast and Smith 2017","","","347635","genus","Belgoryctes","103824","Didelphodontinae","De Bast and Smith","2017","60813","extinct","1","66","61.66","66","61.66","Danian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Belgoryctes","Belgoryctes thaleri","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"347636","347636","txn","","","Belgoryctes thaleri","De Bast and Smith 2017","","","347636","species","Belgoryctes thaleri","347635","Belgoryctes","De Bast and Smith","2017","60813","extinct","1","66","61.66","66","61.66","Danian","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Belgoryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"203035","203035","txn","","","Voltaia","Nessov 1987","","","203035","genus","Voltaia","40223","Palaeoryctidae","Nessov","1987","38159","extinct","1","59.24","56","59.24","56","Thanetian","","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Voltaia","Voltaia minuta","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"203036","203036","txn","","","Voltaia minuta","Nessov 1987","","","203036","species","Voltaia minuta","203035","Voltaia","Nessov","1987","38159","extinct","1","59.24","56","59.24","56","Thanetian","","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Voltaia","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
"40221","40221","txn","","","Pararyctes","Van Valen 1966","","","40221","genus","Pararyctes","40223","Palaeoryctidae","Van Valen","1966","3482","extinct","20","66","63.4","56","51.1","Danian","Ypresian","3","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Pararyctes","Pararyctes pattersoni","terrestrial","Pararyctes","actively mobile","Pararyctes","ground dwelling","Pararyctes","","insectivore","Pararyctes","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Pararyctes"
"49944","49944","txn","","","Pararyctes pattersoni","Van Valen 1966","","","49944","species","Pararyctes pattersoni","40221","Pararyctes","Van Valen","1966","3482","extinct","11","63.4","60.9","60.9","57.5","Danian","Thanetian","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Pararyctes","","terrestrial","Pararyctes","actively mobile","Pararyctes","ground dwelling","Pararyctes","","insectivore","Pararyctes","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Pararyctes"
"49945","49945","txn","","","Pararyctes rutherfordi","Scott et al. 2002","","","49945","species","Pararyctes rutherfordi","40221","Pararyctes","Scott et al.","2002","7614","extinct","1","60.9","57.5","60.9","57.5","Selandian","Thanetian","1","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Pararyctes","","terrestrial","Pararyctes","actively mobile","Pararyctes","ground dwelling","Pararyctes","","insectivore","Pararyctes","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Pararyctes"
"57446","57446","txn","","","Lainoryctes","Fox 2004","","","57446","genus","Lainoryctes","40223","Palaeoryctidae","Fox","2004","10518","extinct","1","60.9","57.5","60.9","57.5","Selandian","Thanetian","2","0","Chordata","Mammalia","Proteutheria","Palaeoryctidae","Lainoryctes","","terrestrial","Palaeoryctidae","actively mobile","Palaeoryctidae","scansorial","Palaeoryctidae","","insectivore","Palaeoryctidae","viviparous","Theria","modification of parts","Palaeoryctidae","","hydroxyapatite","","","","Palaeoryctidae"
