"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Mammalia&show=full&order=hierarchy"
"Access Time","Fri 2026-08-28 21:59:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","show","full"
"","order","hierarchy"
"Elapsed Time","0.945"
"Records Found","34129"
"Records Returned","34129"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","taxon_attr","common_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","ref_author","ref_pubyr","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","vision","diet","diet_basis","reproduction","reproduction_basis","ontogeny","ontogeny_basis","ecospace_comments","composition","architecture","thickness","reinforcement","taphonomy_basis"
"315797","315797","txn","","","Anisorhizus","Ameghino 1902","","nomen dubium","36651","class","Mammalia","36651","Mammalia","Ameghino","1902","54480","extinct","0","","","","","","","0","0","Chordata","Mammalia","","","Anisorhizus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","See Jenkins, Jr. and Parrington (1976)\r\nWhatley and Carrano set this to scansorial insectivore oviparous and I am unsetting it because it causes all sorts of bizarre problems; individual orders and families should be set instead","hydroxyapatite","","","","Vertebrata"
"335807","335807","txn","","","Archaeorycteropus patagonicus","Ameghino 1905","","nomen vanum, species not entered","36651","class","Mammalia","36651","Mammalia","Simpson","1948","10369","extinct","1","56","48","56","48","Ypresian","Lutetian","0","0","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","See Jenkins, Jr. and Parrington (1976)\r\nWhatley and Carrano set this to scansorial insectivore oviparous and I am unsetting it because it causes all sorts of bizarre problems; individual orders and families should be set instead","hydroxyapatite","","","","Vertebrata"
"54215","54215","txn","","","Cimolomidae","Marsh 1889","","","54215","family","Cimolomidae","36651","Mammalia","Marsh","1889","9092","extinct","0","","","","","","","1","0","Chordata","Mammalia","","Cimolomidae","","Cimolomys","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"321825","321825","txn","","","Pachydermata","(Unknown)","","","321825","unranked clade","Pachydermata","36651","Mammalia","Leidy","1856","55487","extant","0","","","","","","","1","1","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"242915","242915","txn","","","Homunculus imago","Ameghino 1894","","nomen dubium, species not entered","36651","class","Mammalia","36651","Mammalia","Ameghino","1894","17465","extinct","0","","","","","","","0","0","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","See Jenkins, Jr. and Parrington (1976)\r\nWhatley and Carrano set this to scansorial insectivore oviparous and I am unsetting it because it causes all sorts of bizarre problems; individual orders and families should be set instead","hydroxyapatite","","","","Vertebrata"
"212331","212331","txn","","","Microderson","Sigogneau-Russell 1991","","","212331","genus","Microderson","36651","Mammalia","Sigogneau-Russell","1991","39256","extinct","1","145.06","141","145.06","141","Tithonian","Berriasian","2","0","Chordata","Mammalia","","","Microderson","Microderson laaroussii","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"212332","212332","txn","","","Microderson laaroussii","Sigogneau-Russell 1991","","","212332","species","Microderson laaroussii","212331","Microderson","Sigogneau-Russell","1991","39256","extinct","1","145.06","141","145.06","141","Tithonian","Berriasian","1","0","Chordata","Mammalia","","","Microderson","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"320108","320108","txn","","","Acrotheria","Averianov and Lopatin 2011","","","320108","subclass","Acrotheria","36651","Mammalia","Averianov and Lopatin","2011","55235","extant","0","","","","","","","1","1","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"55376","55376","txn","","","Thereuodontidae","Sigogneau-Russell and Ensom 1998","","","55376","family","Thereuodontidae","36651","Mammalia","Sigogneau-Russell and Ensom","1998","9437","extinct","3","145.06","141","143.1","137.05","Tithonian","Berriasian","4","0","Chordata","Mammalia","","Thereuodontidae","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"212327","212327","txn","","","Thereuodon","Sigogneau-Russell 1989","","","212327","genus","Thereuodon","55376","Thereuodontidae","Sigogneau-Russell and Ensom","1998","9437","extinct","3","145.06","141","143.1","137.05","Tithonian","Berriasian","3","0","Chordata","Mammalia","","Thereuodontidae","Thereuodon","Thereuodon dahmani","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"212328","212328","txn","","","Thereuodon taraktes","Sigogneau-Russell and Ensom 1998","","","212328","species","Thereuodon taraktes","212327","Thereuodon","Sigogneau-Russell and Ensom","1998","9437","extinct","2","143.1","139.1","143.1","137.05","Berriasian","","1","0","Chordata","Mammalia","","Thereuodontidae","Thereuodon","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"55377","55377","txn","","","Thereuodon dahmani","Sigogneau-Russell 1989","","","55377","species","Thereuodon dahmani","212327","Thereuodon","Sigogneau-Russell and Ensom","1998","9437","extinct","1","145.06","141","145.06","141","Tithonian","Berriasian","1","0","Chordata","Mammalia","","Thereuodontidae","Thereuodon","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"57710","57710","txn","","","Cladotheria","McKenna 1975","","","57710","unranked clade","Cladotheria","36651","Mammalia","McKenna","1975","10470","extant","124420","239.48","237","0.0117","0","Ladinian","Holocene","25853","4992","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"155048","155048","txn","","","Zatheria","McKenna 1975","","","155048","unranked clade","Zatheria","57710","Cladotheria","McKenna","1975","10470","extant","124245","239.48","237","0.0117","0","Ladinian","Holocene","25712","4991","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
